State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
NY,161,415,351-7269,no,no,0,332.900000,67,56.590000,317.800000,97,27.010000,160.600000,128,7.230000,5.400000,9,1.460000,4,True.
ID,85,408,350-8884,no,yes,27,196.400000,139,33.390000,280.900000,90,23.880000,89.300000,75,4.020000,13.800000,4,3.730000,1,False.
VT,93,510,386-2923,no,no,0,190.700000,114,32.420000,218.200000,111,18.550000,129.600000,121,5.830000,8.100000,3,2.190000,3,False.
VA,76,510,356-2992,no,yes,33,189.700000,66,32.250000,212.800000,65,18.090000,165.700000,108,7.460000,10.000000,5,2.700000,1,False.
TX,73,415,373-2782,no,no,0,224.400000,90,38.150000,159.500000,88,13.560000,192.800000,74,8.680000,13.000000,2,3.510000,1,False.
FL,147,415,396-5800,no,no,0,155.100000,117,26.370000,239.700000,93,20.370000,208.800000,133,9.400000,10.600000,4,2.860000,0,False.
CO,77,408,393-7984,no,no,0,62.400000,89,10.610000,169.900000,121,14.440000,209.600000,64,9.430000,5.700000,6,1.540000,5,True.
AZ,130,415,358-1958,no,no,0,183.000000,112,31.110000,72.900000,99,6.200000,181.800000,78,8.180000,9.500000,19,2.570000,0,False.
SC,111,415,350-2565,no,no,0,110.400000,103,18.770000,137.300000,102,11.670000,189.600000,105,8.530000,7.700000,6,2.080000,2,False.
VA,132,510,343-4696,no,no,0,81.100000,86,13.790000,245.200000,72,20.840000,237.000000,115,10.670000,10.300000,2,2.780000,0,False.
NE,174,415,331-3698,no,no,0,124.300000,76,21.130000,277.100000,112,23.550000,250.700000,115,11.280000,15.500000,5,4.190000,3,False.
WY,57,408,357-3817,no,yes,39,213.000000,115,36.210000,191.100000,112,16.240000,182.700000,115,8.220000,9.500000,3,2.570000,0,False.
MT,54,408,418-6412,no,no,0,134.300000,73,22.830000,155.500000,100,13.220000,102.100000,68,4.590000,14.700000,4,3.970000,3,False.
MO,20,415,353-2630,no,no,0,190.000000,109,32.300000,258.200000,84,21.950000,181.500000,102,8.170000,6.300000,6,1.700000,0,False.
HI,49,510,410-7789,no,no,0,119.300000,117,20.280000,215.100000,109,18.280000,178.700000,90,8.040000,11.100000,1,3.000000,1,False.
IL,142,415,416-8428,no,no,0,84.800000,95,14.420000,136.700000,63,11.620000,250.500000,148,11.270000,14.200000,6,3.830000,2,False.
NH,75,510,370-3359,no,no,0,226.100000,105,38.440000,201.500000,107,17.130000,246.200000,98,11.080000,10.300000,5,2.780000,1,False.
LA,172,408,383-1121,no,no,0,212.000000,121,36.040000,31.200000,115,2.650000,293.300000,78,13.200000,12.600000,10,3.400000,3,False.
AZ,12,408,360-1596,no,no,0,249.600000,118,42.430000,252.400000,119,21.450000,280.200000,90,12.610000,11.800000,3,3.190000,1,True.
OK,57,408,395-2854,no,yes,25,176.800000,94,30.060000,195.000000,75,16.580000,213.500000,116,9.610000,8.300000,4,2.240000,0,False.
GA,72,415,362-1407,no,yes,37,220.000000,80,37.400000,217.300000,102,18.470000,152.800000,71,6.880000,14.700000,6,3.970000,3,False.
AK,36,408,341-9764,no,yes,30,146.300000,128,24.870000,162.500000,80,13.810000,129.300000,109,5.820000,14.500000,6,3.920000,0,False.
MA,78,415,353-3305,no,no,0,130.800000,64,22.240000,223.700000,116,19.010000,227.800000,108,10.250000,10.000000,5,2.700000,1,False.
AK,136,415,402-1381,yes,yes,33,203.900000,106,34.660000,187.600000,99,15.950000,101.700000,107,4.580000,10.500000,6,2.840000,3,False.
NJ,149,408,332-9891,no,no,0,140.400000,94,23.870000,271.800000,92,23.100000,188.300000,108,8.470000,11.100000,9,3.000000,1,False.
GA,98,408,372-9976,no,no,0,126.300000,102,21.470000,166.800000,85,14.180000,187.800000,135,8.450000,9.400000,2,2.540000,3,False.
MD,135,408,383-6029,yes,yes,41,173.100000,85,29.430000,203.900000,107,17.330000,122.200000,78,5.500000,14.600000,15,3.940000,0,True.
AR,34,510,353-7289,no,no,0,124.800000,82,21.220000,282.200000,98,23.990000,311.500000,78,14.020000,10.000000,4,2.700000,2,False.
ID,160,415,390-7274,no,no,0,85.800000,77,14.590000,165.300000,110,14.050000,178.500000,92,8.030000,9.200000,4,2.480000,3,False.
WI,64,510,352-1237,no,no,0,154.000000,67,26.180000,225.800000,118,19.190000,265.300000,86,11.940000,3.500000,3,0.950000,1,False.
OR,59,408,353-3061,no,yes,28,120.900000,97,20.550000,213.000000,92,18.110000,163.100000,116,7.340000,8.500000,5,2.300000,2,False.
MI,65,415,363-5450,no,no,0,211.300000,120,35.920000,162.600000,122,13.820000,134.700000,118,6.060000,13.200000,5,3.560000,3,False.
DE,142,408,364-1995,no,no,0,187.000000,133,31.790000,134.600000,74,11.440000,242.200000,127,10.900000,7.400000,5,2.000000,2,False.
ID,119,415,398-1294,no,no,0,159.100000,114,27.050000,231.300000,117,19.660000,143.200000,91,6.440000,8.800000,3,2.380000,5,True.
WY,97,415,405-7146,no,yes,24,133.200000,135,22.640000,217.200000,58,18.460000,70.600000,79,3.180000,11.000000,3,2.970000,1,False.
IA,52,408,413-4957,no,no,0,191.900000,108,32.620000,269.800000,96,22.930000,236.800000,87,10.660000,7.800000,5,2.110000,3,False.
IN,60,408,420-5645,no,no,0,220.600000,57,37.500000,211.100000,115,17.940000,249.000000,129,11.210000,6.800000,3,1.840000,1,False.
VA,10,408,349-4396,no,no,0,186.100000,112,31.640000,190.200000,66,16.170000,282.800000,57,12.730000,11.400000,6,3.080000,2,False.
UT,96,415,404-3211,no,no,0,160.200000,117,27.230000,267.500000,67,22.740000,228.500000,68,10.280000,9.300000,5,2.510000,2,False.
WY,87,415,353-3759,no,no,0,151.000000,83,25.670000,219.700000,116,18.670000,203.900000,127,9.180000,9.700000,3,2.620000,5,True.
IN,81,408,363-5947,no,no,0,175.500000,67,29.840000,249.300000,85,21.190000,270.200000,98,12.160000,10.200000,3,2.750000,1,False.
CO,141,415,340-5121,no,no,0,126.900000,98,21.570000,180.000000,62,15.300000,140.800000,128,6.340000,8.000000,2,2.160000,1,False.
CO,121,408,370-7574,no,yes,30,198.400000,129,33.730000,75.300000,77,6.400000,181.200000,77,8.150000,5.800000,3,1.570000,3,True.
WI,68,415,403-9733,no,no,0,148.800000,70,25.300000,246.500000,164,20.950000,129.800000,103,5.840000,12.100000,3,3.270000,3,False.
OK,125,408,355-7251,no,no,0,229.300000,103,38.980000,177.400000,126,15.080000,189.300000,95,8.520000,12.000000,8,3.240000,1,False.
ID,174,408,359-5893,no,no,0,192.100000,97,32.660000,169.900000,94,14.440000,166.600000,54,7.500000,11.400000,4,3.080000,1,False.
CA,116,415,405-3371,no,yes,34,268.600000,83,45.660000,178.200000,142,15.150000,166.300000,106,7.480000,11.600000,3,3.130000,2,False.
MN,74,510,344-5117,no,yes,33,193.700000,91,32.930000,246.100000,96,20.920000,138.000000,92,6.210000,14.600000,3,3.940000,2,False.
SD,149,408,332-8160,no,yes,28,180.700000,92,30.720000,187.800000,64,15.960000,265.500000,53,11.950000,12.600000,3,3.400000,3,False.
NC,38,408,359-4081,no,no,0,131.200000,98,22.300000,162.900000,97,13.850000,159.000000,106,7.150000,8.200000,6,2.210000,2,False.
WA,40,415,352-8305,no,yes,41,148.100000,74,25.180000,169.500000,88,14.410000,214.100000,102,9.630000,6.200000,5,1.670000,2,False.
WY,43,415,329-9847,yes,no,0,251.500000,105,42.760000,212.800000,104,18.090000,157.800000,67,7.100000,9.300000,4,2.510000,0,False.
MN,113,408,365-9011,yes,no,0,125.200000,93,21.280000,206.400000,119,17.540000,129.300000,139,5.820000,8.300000,8,2.240000,0,False.
UT,126,408,338-9472,no,no,0,211.600000,70,35.970000,216.900000,80,18.440000,153.500000,60,6.910000,7.800000,1,2.110000,1,False.
TX,150,510,374-8042,no,no,0,178.900000,101,30.410000,169.100000,110,14.370000,148.600000,100,6.690000,13.800000,3,3.730000,4,True.
NJ,138,408,359-1231,no,no,0,241.800000,93,41.110000,170.500000,83,14.490000,295.300000,104,13.290000,11.800000,7,3.190000,3,False.
MN,162,510,413-7170,no,yes,46,224.900000,97,38.230000,188.200000,84,16.000000,254.600000,61,11.460000,12.100000,2,3.270000,0,False.
NM,147,510,415-2935,no,no,0,248.600000,83,42.260000,148.900000,85,12.660000,172.500000,109,7.760000,8.000000,4,2.160000,3,False.
NV,90,415,399-4246,no,no,0,203.400000,146,34.580000,226.700000,117,19.270000,152.400000,105,6.860000,7.300000,4,1.970000,1,False.
HI,85,415,362-5889,no,no,0,235.800000,109,40.090000,157.200000,94,13.360000,188.200000,99,8.470000,12.000000,3,3.240000,0,False.
MN,50,415,350-8921,no,no,0,157.100000,90,26.710000,223.300000,72,18.980000,181.400000,111,8.160000,6.100000,2,1.650000,1,False.
DC,82,415,374-5353,no,no,0,300.300000,109,51.050000,181.000000,100,15.390000,270.100000,73,12.150000,11.700000,4,3.160000,0,True.
NY,144,408,360-1171,no,no,0,61.600000,117,10.470000,77.100000,85,6.550000,173.000000,99,7.790000,8.200000,7,2.210000,4,True.
MN,46,415,355-8887,no,no,0,214.100000,72,36.400000,164.400000,104,13.970000,177.500000,113,7.990000,8.200000,3,2.210000,2,False.
MD,70,408,333-1967,no,no,0,170.200000,98,28.930000,155.200000,102,13.190000,228.600000,76,10.290000,15.000000,2,4.050000,1,False.
WV,144,415,354-4577,no,no,0,201.100000,99,34.190000,303.500000,74,25.800000,224.000000,119,10.080000,13.200000,2,3.560000,1,False.
OR,116,415,331-7425,yes,no,0,215.400000,104,36.620000,204.800000,79,17.410000,278.500000,109,12.530000,12.600000,5,3.400000,3,False.
CO,55,408,419-2637,no,yes,25,165.600000,123,28.150000,136.100000,95,11.570000,175.700000,90,7.910000,11.000000,2,2.970000,3,False.
GA,70,415,411-1530,no,yes,24,249.500000,101,42.420000,259.700000,98,22.070000,222.700000,68,10.020000,9.800000,4,2.650000,1,False.
TX,106,510,395-3026,no,no,0,210.600000,96,35.800000,249.200000,85,21.180000,191.400000,88,8.610000,12.400000,1,3.350000,2,True.
VT,128,510,388-6441,no,yes,29,179.300000,104,30.480000,225.900000,86,19.200000,323.000000,78,14.540000,8.600000,7,2.320000,0,False.
IN,94,408,402-1251,no,no,0,157.900000,105,26.840000,155.000000,101,13.180000,189.600000,84,8.530000,8.000000,5,2.160000,4,True.
WV,111,510,412-9997,no,no,0,214.300000,118,36.430000,208.500000,76,17.720000,182.400000,98,8.210000,12.000000,2,3.240000,1,False.
KY,74,415,346-7302,no,yes,35,154.100000,104,26.200000,123.400000,84,10.490000,202.100000,57,9.090000,10.900000,9,2.940000,2,False.
NJ,128,415,358-9095,no,no,0,237.900000,125,40.440000,247.600000,93,21.050000,208.900000,68,9.400000,13.900000,4,3.750000,1,True.
DC,82,510,400-9770,no,no,0,143.900000,61,24.460000,194.900000,105,16.570000,109.600000,94,4.930000,11.100000,2,3.000000,1,False.
LA,155,415,334-1275,no,no,0,203.400000,100,34.580000,190.900000,104,16.230000,196.000000,119,8.820000,8.900000,4,2.400000,0,True.
AR,80,415,340-4953,no,no,0,124.300000,100,21.130000,173.000000,107,14.710000,253.200000,62,11.390000,7.900000,9,2.130000,1,False.
ME,78,415,400-9510,no,no,0,252.900000,93,42.990000,178.400000,112,15.160000,263.900000,105,11.880000,9.500000,7,2.570000,3,False.
AZ,90,415,387-6103,no,no,0,179.100000,71,30.450000,190.600000,81,16.200000,127.700000,91,5.750000,10.600000,7,2.860000,3,False.
AK,104,408,366-4467,no,no,0,278.400000,106,47.330000,81.000000,113,6.890000,163.200000,137,7.340000,9.800000,5,2.650000,1,False.
MT,73,415,370-3450,no,no,0,160.100000,110,27.220000,213.300000,72,18.130000,174.100000,72,7.830000,13.000000,4,3.510000,0,False.
AZ,99,415,327-3954,no,no,0,198.200000,87,33.690000,207.300000,76,17.620000,190.900000,113,8.590000,8.700000,3,2.350000,4,False.
MS,120,408,355-6291,no,no,0,212.100000,131,36.060000,209.400000,104,17.800000,167.200000,96,7.520000,5.300000,5,1.430000,1,True.
ID,77,415,362-9748,no,no,0,251.800000,72,42.810000,205.700000,126,17.480000,275.200000,109,12.380000,9.800000,7,2.650000,2,True.
IA,98,510,379-6506,no,yes,21,161.200000,114,27.400000,252.200000,83,21.440000,160.200000,92,7.210000,4.400000,8,1.190000,4,False.
MA,108,415,347-7741,no,no,0,178.300000,137,30.310000,189.000000,76,16.070000,129.100000,102,5.810000,14.600000,5,3.940000,0,False.
VT,135,415,354-3783,no,no,0,151.700000,82,25.790000,119.000000,105,10.120000,180.000000,100,8.100000,10.500000,6,2.840000,0,False.
KY,95,408,401-7594,no,no,0,135.000000,99,22.950000,183.600000,106,15.610000,245.300000,102,11.040000,12.500000,9,3.380000,1,False.
IN,122,408,397-4976,no,no,0,170.500000,94,28.990000,173.700000,109,14.760000,248.600000,75,11.190000,11.300000,2,3.050000,1,False.
AZ,95,408,334-2577,no,no,0,238.100000,65,40.480000,187.200000,98,15.910000,190.000000,115,8.550000,11.800000,4,3.190000,4,False.
MI,36,510,400-3637,no,yes,29,281.400000,102,47.840000,202.200000,76,17.190000,187.200000,113,8.420000,9.000000,6,2.430000,2,False.
NM,93,510,383-4361,no,yes,21,117.900000,131,20.040000,164.500000,115,13.980000,217.000000,86,9.760000,9.800000,3,2.650000,1,False.
CO,141,415,371-4306,no,yes,32,148.600000,91,25.260000,131.100000,97,11.140000,219.400000,142,9.870000,10.100000,1,2.730000,1,False.
UT,157,408,403-4298,no,no,0,229.800000,90,39.070000,147.900000,121,12.570000,241.400000,108,10.860000,9.600000,7,2.590000,3,False.
MI,120,408,409-3786,no,no,0,165.000000,100,28.050000,317.200000,83,26.960000,119.200000,86,5.360000,8.300000,8,2.240000,1,False.
MA,103,415,337-4697,no,no,0,185.000000,117,31.450000,223.300000,94,18.980000,222.800000,91,10.030000,12.600000,2,3.400000,2,False.
AL,98,408,383-1509,no,no,0,161.000000,117,27.370000,190.900000,113,16.230000,227.700000,113,10.250000,12.100000,4,3.270000,4,False.
DE,125,408,359-9794,no,no,0,126.700000,108,21.540000,206.000000,90,17.510000,247.800000,114,11.150000,13.300000,7,3.590000,1,False.
